bookmaker,ev,impl_prb,label,league,line,market,odds,subject,true_prb
ESPNBet,-0.0834,0.4166666666666667,Over,NHL,2.5,Total Shots on Goal,2.4,Mikael Granlund,0.38190954773869346
BetMGM,-0.0834,0.4166666666666667,Over,NHL,2.5,Total Shots on Goal,2.4,Mikael Granlund,0.38190954773869346
Fliff,-0.0852,0.6756756756756757,Under,NHL,2.5,Total Shots on Goal,1.48,Mikael Granlund,0.6180904522613065
Fliff,-0.0852,0.6756756756756757,Under,NHL,2.5,Total Shots on Goal,1.48,Mikael Granlund,0.6180904522613065
BetRivers,-0.0855,0.5291005291005292,Under,NFL,15.5,Total Receiving Yards,1.89,Cole Kmet,0.48387096774193555
Unibet,-0.0855,0.5291005291005292,Under,NFL,15.5,Total Receiving Yards,1.89,Cole Kmet,0.48387096774193555
Unibet,-0.0855,0.5291005291005292,Under,NFL,15.5,Total Receiving Yards,1.89,Cole Kmet,0.48387096774193555
BetRivers,-0.0855,0.5291005291005292,Under,NFL,15.5,Total Receiving Yards,1.89,Cole Kmet,0.48387096774193555
SugarHouse,-0.0855,0.5291005291005292,Under,NFL,15.5,Total Receiving Yards,1.89,Cole Kmet,0.48387096774193555
SugarHouse,-0.0855,0.5291005291005292,Under,NFL,15.5,Total Receiving Yards,1.89,Cole Kmet,0.48387096774193555
DraftKings,-0.0865,0.5649717514124294,Over,NFL,15.5,Total Receiving Yards,1.77,Cole Kmet,0.5161290322580646
Fliff,-0.0865,0.5649717514124294,Over,NFL,15.5,Total Receiving Yards,1.77,Cole Kmet,0.5161290322580646
Fliff,-0.0865,0.5649717514124294,Over,NFL,15.5,Total Receiving Yards,1.77,Cole Kmet,0.5161290322580646
Fliff,-0.0892,0.5649717514124294,Over,NBA,53.5,Points + Rebounds + Assists,1.77,Nikola Jokic,0.5145888594164455
Fliff,-0.0892,0.5649717514124294,Over,NBA,53.5,Points + Rebounds + Assists,1.77,Nikola Jokic,0.5145888594164455
HardRock,-0.0923,0.5464480874316939,Under,NBA,38.5,Points + Rebounds + Assists,1.83,Cade Cunningham,0.4960212201591513
BetMGM,-0.0923,0.5464480874316939,Under,NBA,38.5,Points + Rebounds + Assists,1.83,Cade Cunningham,0.4960212201591513
Fliff,-0.0923,0.53475935828877,Under,NBA,53.5,Points + Rebounds + Assists,1.87,Nikola Jokic,0.4854111405835544
ESPNBet,-0.0923,0.5464480874316939,Under,NBA,38.5,Points + Rebounds + Assists,1.83,Cade Cunningham,0.4960212201591513
HardRock,-0.0923,0.5464480874316939,Under,NBA,38.5,Points + Rebounds + Assists,1.83,Cade Cunningham,0.4960212201591513
Fliff,-0.0923,0.53475935828877,Under,NBA,53.5,Points + Rebounds + Assists,1.87,Nikola Jokic,0.4854111405835544
BetMGM,-0.0923,0.5464480874316939,Under,NBA,38.5,Points + Rebounds + Assists,1.83,Cade Cunningham,0.4960212201591513
ESPNBet,-0.0923,0.5464480874316939,Under,NBA,38.5,Points + Rebounds + Assists,1.83,Cade Cunningham,0.4960212201591513
HardRock,-0.0935,0.5,Over,NBA,9.5,Assists,2.0,Nikola Jokic,0.45324760092768757
Bovada,-0.0952,0.53475935828877,Under,NFL,16.5,Total Receiving Yards,1.87,Cole Kmet,0.48387096774193555
STNSports,-0.0952,0.53475935828877,Under,NFL,15.5,Total Receiving Yards,1.87,Cole Kmet,0.48387096774193555
STNSports,-0.0952,0.53475935828877,Under,NFL,15.5,Total Receiving Yards,1.87,Cole Kmet,0.48387096774193555
Bovada,-0.0952,0.53475935828877,Under,NFL,16.5,Total Receiving Yards,1.87,Cole Kmet,0.48387096774193555
Pick6,-0.0978,0.5747126436781609,Under,NBA,54.5,Points + Rebounds + Assists,1.74,Nikola Jokic,0.5185185185185185
Pick6,-0.0978,0.5747126436781609,Under,NBA,54.5,Points + Rebounds + Assists,1.74,Nikola Jokic,0.5185185185185185
Unibet,-0.1008,0.45454545454545453,Under,NHL,3.5,Total Shots on Goal,2.2,Jack Hughes,0.4087403598971723
BetRivers,-0.1008,0.45454545454545453,Under,NHL,3.5,Total Shots on Goal,2.2,Jack Hughes,0.4087403598971723
Unibet,-0.1008,0.45454545454545453,Under,NHL,3.5,Total Shots on Goal,2.2,Jack Hughes,0.4087403598971723
HardRock,-0.1008,0.45454545454545453,Under,NHL,3.5,Total Shots on Goal,2.2,Jack Hughes,0.4087403598971723
DraftKings,-0.1008,0.45454545454545453,Under,NHL,3.5,Total Shots on Goal,2.2,Jack Hughes,0.4087403598971723
BetRivers,-0.1008,0.45454545454545453,Under,NHL,3.5,Total Shots on Goal,2.2,Jack Hughes,0.4087403598971723
DraftKings,-0.1008,0.45454545454545453,Under,NHL,3.5,Total Shots on Goal,2.2,Jack Hughes,0.4087403598971723
HardRock,-0.1008,0.45454545454545453,Under,NHL,3.5,Total Shots on Goal,2.2,Jack Hughes,0.4087403598971723
Pick6,-0.1019,0.5747126436781609,Over,NFL,15.5,Total Receiving Yards,1.74,Cole Kmet,0.5161290322580646
Pick6,-0.1019,0.5747126436781609,Over,NFL,15.5,Total Receiving Yards,1.74,Cole Kmet,0.5161290322580646
